epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8829,1.60991,1.82144,1.30722,0.13491,0.01123,0.00085,0.00054,nan,nan,nan,0.00053979,0.00053979,0.00053979
2,56.4762,1.5847,1.53973,1.31651,0.00027,0.00552,0.0002,6e-05,nan,nan,nan,0.00107377,0.00107377,0.00107377
3,77.917,1.52532,1.07156,1.26768,0,0,0,0,nan,nan,nan,0.00158574,0.00158574,0.00158574
4,99.4919,1.48954,0.97,1.28996,0.15296,0.2866,0.08334,0.02322,nan,nan,nan,0.00156798,0.00156798,0.00156798
